cores,executor_memory_size,driver_memory_size,instances,model_type,max_iter,parallelism,max_memory,accuracy,training_time,prediction_time,total_time,max_depth,max_bins
6,1000,10000,1,logistic,10,1,500,50,776,11,903,,
6,1000,10000,1,gbt,10,1,500,50,3327,156,3569,3.0,16.0
6,1000,16000,1,logistic,10,1,500,50,620,9,724,,
6,1000,16000,1,gbt,10,1,500,50,3369,167,3623,3.0,16.0
6,2000,1000,1,logistic,10,1,500,50,623,8,729,,
6,2000,1000,1,gbt,10,1,500,50,3298,164,3549,3.0,16.0
6,2000,2000,1,logistic,10,1,500,50,501,8,605,,
6,2000,2000,1,gbt,10,1,500,50,3286,154,3539,3.0,16.0
6,2000,4000,1,logistic,10,1,500,50,683,8,777,,
6,2000,4000,1,gbt,10,1,500,50,3394,157,3637,3.0,16.0
6,2000,6000,1,logistic,10,1,500,50,763,9,872,,
6,2000,6000,1,gbt,10,1,500,50,3309,176,3573,3.0,16.0
6,2000,10000,1,logistic,10,1,500,50,544,8,680,,
6,2000,10000,1,gbt,10,1,500,50,3341,154,3584,3.0,16.0
6,2000,16000,1,logistic,10,1,500,50,527,9,637,,
6,2000,16000,1,gbt,10,1,500,50,3327,165,3572,3.0,16.0
6,4000,1000,1,logistic,10,1,500,50,474,8,627,,
6,4000,1000,1,gbt,10,1,500,50,3372,160,3614,3.0,16.0
6,4000,2000,1,logistic,10,1,500,50,493,9,585,,
6,4000,2000,1,gbt,10,1,500,50,3343,154,3637,3.0,16.0
6,4000,4000,1,logistic,10,1,500,50,836,9,1007,,
6,4000,4000,1,gbt,10,1,500,50,3363,162,3612,3.0,16.0
6,4000,6000,1,logistic,10,1,500,50,694,17,802,,
6,4000,6000,1,gbt,10,1,500,50,3441,156,3684,3.0,16.0
6,4000,10000,1,logistic,10,1,500,50,646,9,750,,
6,4000,10000,1,gbt,10,1,500,50,3424,155,3700,3.0,16.0
6,4000,16000,1,logistic,10,1,500,50,465,8,609,,
6,4000,16000,1,gbt,10,1,500,50,3339,155,3580,3.0,16.0
6,6000,1000,1,logistic,10,1,500,50,598,8,708,,
6,6000,1000,1,gbt,10,1,500,50,3393,157,3667,3.0,16.0
6,6000,2000,1,logistic,10,1,500,50,598,8,707,,
6,6000,2000,1,gbt,10,1,500,50,3422,158,3675,3.0,16.0
6,6000,4000,1,logistic,10,1,500,50,695,8,791,,
6,6000,4000,1,gbt,10,1,500,50,3392,154,3626,3.0,16.0
6,6000,6000,1,logistic,10,1,500,50,674,8,778,,
6,6000,6000,1,gbt,10,1,500,50,3441,158,3685,3.0,16.0
6,6000,10000,1,logistic,10,1,500,50,625,8,773,,
6,6000,10000,1,gbt,10,1,500,50,3428,167,3678,3.0,16.0
6,6000,16000,1,logistic,10,1,500,50,765,13,864,,
6,6000,16000,1,gbt,10,1,500,50,3430,167,3694,3.0,16.0
6,10000,1000,1,logistic,10,1,500,50,539,10,638,,
6,10000,1000,1,gbt,10,1,500,50,3344,167,3596,3.0,16.0
6,10000,2000,1,logistic,10,1,500,50,785,11,879,,
6,10000,2000,1,gbt,10,1,500,50,3563,159,3814,3.0,16.0
6,10000,4000,1,logistic,10,1,500,50,663,12,769,,
6,10000,4000,1,gbt,10,1,500,50,3497,171,3743,3.0,16.0
6,10000,6000,1,logistic,10,1,500,50,696,8,798,,
6,10000,6000,1,gbt,10,1,500,50,3441,153,3679,3.0,16.0
6,10000,10000,1,logistic,10,1,500,50,667,9,763,,
6,10000,10000,1,gbt,10,1,500,50,3363,154,3601,3.0,16.0
6,10000,16000,1,logistic,10,1,500,50,511,8,614,,
6,10000,16000,1,gbt,10,1,500,50,3517,158,3791,3.0,16.0
6,16000,1000,1,logistic,10,1,500,50,862,15,995,,
6,16000,1000,1,gbt,10,1,500,50,3608,267,3989,3.0,16.0
6,16000,2000,1,logistic,10,1,500,50,774,9,901,,
6,16000,2000,1,gbt,10,1,500,50,3596,187,3888,3.0,16.0
6,16000,4000,1,logistic,10,1,500,50,594,11,727,,
6,16000,4000,1,gbt,10,1,500,50,3392,178,3690,3.0,16.0
6,16000,6000,1,logistic,10,1,500,50,900,13,1046,,
6,16000,6000,1,gbt,10,1,500,50,3507,210,3814,3.0,16.0
6,16000,10000,1,logistic,10,1,500,50,717,11,873,,
6,16000,10000,1,gbt,10,1,500,50,3369,180,3648,3.0,16.0
6,16000,16000,1,logistic,10,1,500,50,630,12,781,,
6,16000,16000,1,gbt,10,1,500,50,3408,188,3684,3.0,16.0
8,1000,1000,1,logistic,10,1,500,50,554,10,748,,
8,1000,1000,1,gbt,10,1,500,50,3352,184,3635,3.0,16.0
8,1000,2000,1,logistic,10,1,500,50,581,12,698,,
8,1000,2000,1,gbt,10,1,500,50,3355,190,3631,3.0,16.0
8,1000,4000,1,logistic,10,1,500,50,672,10,803,,
8,1000,4000,1,gbt,10,1,500,50,3326,177,3592,3.0,16.0
8,1000,6000,1,logistic,10,1,500,50,721,11,825,,
8,1000,6000,1,gbt,10,1,500,50,3463,187,3742,3.0,16.0
8,1000,10000,1,logistic,10,1,500,50,670,10,795,,
8,1000,10000,1,gbt,10,1,500,50,3360,181,3665,3.0,16.0
8,1000,16000,1,logistic,10,1,500,50,797,10,909,,
8,1000,16000,1,gbt,10,1,500,50,3416,181,3707,3.0,16.0
8,2000,1000,1,logistic,10,1,500,50,740,16,862,,
8,2000,1000,1,gbt,10,1,500,50,3484,204,3802,3.0,16.0
8,2000,2000,1,logistic,10,1,500,50,653,11,792,,
8,2000,2000,1,gbt,10,1,500,50,3328,184,3639,3.0,16.0
8,2000,4000,1,logistic,10,1,500,50,702,10,814,,
8,2000,4000,1,gbt,10,1,500,50,3421,194,3725,3.0,16.0
8,2000,6000,1,logistic,10,1,500,50,789,14,896,,
8,2000,6000,1,gbt,10,1,500,50,3503,191,3795,3.0,16.0
8,2000,10000,1,logistic,10,1,500,50,717,13,829,,
8,2000,10000,1,gbt,10,1,500,50,3341,174,3610,3.0,16.0
8,2000,16000,1,logistic,10,1,500,50,605,11,718,,
8,2000,16000,1,gbt,10,1,500,50,3416,179,3692,3.0,16.0
8,4000,1000,1,logistic,10,1,500,50,735,13,853,,
8,4000,1000,1,gbt,10,1,500,50,3474,176,3743,3.0,16.0
8,4000,2000,1,logistic,10,1,500,50,717,11,827,,
8,4000,2000,1,gbt,10,1,500,50,3410,191,3700,3.0,16.0
8,4000,4000,1,logistic,10,1,500,50,655,11,777,,
8,4000,4000,1,gbt,10,1,500,50,3505,190,3814,3.0,16.0
8,4000,6000,1,logistic,10,1,500,50,668,12,833,,
8,4000,6000,1,gbt,10,1,500,50,3400,184,3677,3.0,16.0
8,4000,10000,1,logistic,10,1,500,50,798,10,903,,
8,4000,10000,1,gbt,10,1,500,50,3508,195,3793,3.0,16.0
8,4000,16000,1,logistic,10,1,500,50,598,11,716,,
8,4000,16000,1,gbt,10,1,500,50,3423,177,3748,3.0,16.0
8,6000,1000,1,logistic,10,1,500,50,658,12,775,,
8,6000,1000,1,gbt,10,1,500,50,3369,181,3664,3.0,16.0
8,6000,2000,1,logistic,10,1,500,50,691,10,795,,
8,6000,2000,1,gbt,10,1,500,50,3551,189,3851,3.0,16.0
8,6000,4000,1,logistic,10,1,500,50,673,10,797,,
8,6000,4000,1,gbt,10,1,500,50,3552,191,3890,3.0,16.0
8,6000,6000,1,logistic,10,1,500,50,710,15,848,,
8,6000,6000,1,gbt,10,1,500,50,3480,179,3776,3.0,16.0
8,6000,10000,1,logistic,10,1,500,50,541,11,644,,
